Month,Options,Charts,Last,Change,Prior Settle,Open,High,Low,Volume,Hi / Low Limit,Updated
"

Legend:
Options
Price Chart
About This Report

"
"
JUN 2017
","
JUN 2017
","

Show Price Chart

",2359.00,+2.50,2356.50,2358.75,2359.75,2358.50,"4,017",2474.00 / 2238.00,17:38:34 CT 04 Apr 2017
"
SEP 2017
","
SEP 2017
","

Show Price Chart

",2356.25,+2.50,2353.75,2356.50,2356.50,2355.75,7,2471.00 / 2235.00,17:14:05 CT 04 Apr 2017
"
DEC 2017
","
DEC 2017
","

Show Price Chart

",-,-,2351.50,-,-,-,0,2469.00 / 2233.00,17:02:40 CT 04 Apr 2017
"
MAR 2018
","
MAR 2018
","

Show Price Chart

",-,-,2349.50,-,-,-,0,2467.00 / 2231.00,17:08:53 CT 04 Apr 2017
"
JUN 2018
","
JUN 2018
","

Show Price Chart

",-,-,2350.50,-,-,-,0,2468.00 / 2232.00,17:02:37 CT 04 Apr 2017
